study_hours,attendance,assignment_score,midterm_score,project_score,sleep_hours,previous_gpa,participation,final_score
6.609434159508862,73.48049020146492,75.0384541235442,71.15163417853763,78.33602304674548,7.211532442873823,7.128254923441671,67.27523307064644,51.83124480923029
3.920031787519009,71.34122288879564,82.74262082671416,67.25319852854581,87.3634316261094,8.078948180798935,7.572283407522016,86.05365590555684,58.85715563592923
7.5009023916129145,82.34009823450107,75.2798550784425,80.09661076503923,87.15829359747089,5.2332752609995765,6.011092867082976,100.0,58.38306981225164
7.881129432782428,80.51854415295006,98.8659799969731,76.49426448376417,70.49043173479882,6.65764220513494,5.834695725959689,72.69479727560788,57.629474314313235
2.097929622692327,63.95208452389673,89.15744942964503,26.198484522461072,76.94017449493991,7.994983954454944,7.718757338805583,69.90141628042959,46.76399958983787
3.395640986275364,89.22678254563739,68.30966682339582,75.6333908619984,56.35897967847856,7.078720178011113,6.590663319222045,73.83792048535102,46.46259349658833
6.255680806334571,77.05805424649166,68.18367079431516,53.951288266942825,75.99093008521929,8.760800574492976,5.756985939591696,60.13117298525062,51.28788540628019
5.367514815312836,66.8906890478428,77.63636063382424,48.09579761971821,67.06010572168081,5.108891970175698,8.658409550776875,81.4746755665723,48.834252062899886
5.966397684991422,89.88784114353874,61.94376983489178,65.3613722547701,73.13617574039483,4.97199787846464,6.741846392487489,76.61764613621693,52.53644349708404
4.29391214485284,84.25675571596153,85.99545967838984,73.75359552642016,58.14628135183305,7.923623819947261,8.87977392463843,63.69294687935964,52.18435159654035
7.758795949725657,65.35458008052086,76.339206262123,45.02971545598446,79.04872286719075,8.03896865791933,7.534164949331313,83.53100228563717,49.86045333131382
7.555583870857896,95.77182840257724,75.07750693030239,77.86406983880572,58.03431304424392,6.7680999918018,7.853710634466364,70.28484652518081,54.8359918924204
6.132061395122432,84.58797368366193,80.2434440132498,78.6867438654424,76.48284606791586,7.480473280054869,7.246200304683777,55.44915042288437,57.64143802217298
8.254482413936065,77.89803884374953,92.6739586004287,68.65766674819297,62.73494406977451,7.894248373157688,4.313805306545164,75.2740666813444,55.153213007357785
6.935018684504091,93.9021880562178,74.05146422625006,55.85326917682132,66.50358964864115,6.023364152977904,6.135856210735555,73.55488755098989,51.89182170466337
4.281415074233523,79.5929778382964,70.6435155495434,54.28870794134991,86.54732102545162,6.151781949940841,7.349148648337531,84.40627219165937,54.49905674685016
6.737501568164998,77.71916924895967,90.10463547987094,82.36304984212319,80.87917945913622,7.227671415038364,7.9376749647512455,82.47320425112274,59.98000306838256
